open_time_ms,open,high,low,close,volume,close_time_ms,quote_asset_volume,num_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
1769969580000,78179.26000000,78268.00000000,78167.20000000,78260.97000000,10.24322000,1769969639999,801440.49816090,7559,8.14245000,637059.61511720,0
1769969640000,78260.97000000,78279.51000000,78233.99000000,78234.00000000,6.20717000,1769969699999,485807.07746200,4644,2.84240000,222465.45010670,0
1769969700000,78233.99000000,78279.50000000,78199.26000000,78235.36000000,26.81948000,1769969759999,2098227.29538590,7150,19.20165000,1502270.43094420,0
1769969760000,78235.36000000,78235.37000000,78120.00000000,78192.68000000,108.67632000,1769969819999,8495614.41815160,5151,11.50737000,899384.27605070,0
1769969820000,78192.68000000,78230.00000000,78136.00000000,78229.99000000,9.30101000,1769969879999,727205.79094000,5139,5.72652000,447699.35802580,0
1769969880000,78229.98000000,78229.98000000,78160.01000000,78184.93000000,5.62539000,1769969939999,439790.21979000,3903,3.08719000,241321.62778280,0
1769969940000,78184.92000000,78239.89000000,78169.90000000,78236.74000000,14.95540000,1769969999999,1169424.35454260,5470,4.12410000,322484.75016440,0
1769970000000,78236.75000000,78443.10000000,78216.81000000,78368.00000000,42.87641000,1769970059999,3359912.31923880,11740,30.10978000,2359197.73394990,0
1769970060000,78367.99000000,78367.99000000,78279.68000000,78279.69000000,6.95872000,1769970119999,544880.46803250,5951,2.48725000,194750.25262870,0
1769970120000,78279.68000000,78307.03000000,78263.48000000,78307.03000000,2.91093000,1769970179999,227869.01280380,2938,1.16541000,91233.05649790,0
1769970180000,78307.03000000,78333.14000000,78216.69000000,78216.83000000,13.40161000,1769970239999,1048793.46833480,7495,3.30170000,258381.49637230,0
1769970240000,78216.83000000,78227.81000000,78029.52000000,78061.71000000,21.73649000,1769970299999,1697936.20416610,7231,1.96895000,153830.39010380,0
1769970300000,78061.72000000,78074.00000000,78003.31000000,78070.50000000,8.60495000,1769970359999,671443.92078510,6262,3.36051000,262249.08396860,0
1769970360000,78071.70000000,78170.00000000,78016.88000000,78154.84000000,17.04688000,1769970419999,1331026.18367670,5309,7.55559000,590064.25965130,0
1769970420000,78154.84000000,78183.74000000,78135.16000000,78183.74000000,2.69187000,1769970479999,210396.34340170,2458,2.11017000,164934.40282240,0
1769970480000,78183.74000000,78210.00000000,78178.02000000,78186.81000000,7.22575000,1769970539999,565017.45630390,3538,4.93162000,385623.42087920,0
1769970540000,78186.82000000,78186.82000000,78127.99000000,78155.34000000,5.57284000,1769970599999,435523.38938470,2914,3.05877000,239036.81067830,0
1769970600000,78155.33000000,78155.34000000,78114.33000000,78117.52000000,6.99299000,1769970659999,546352.33150140,6026,3.36502000,262900.82813240,0
1769970660000,78117.52000000,78131.38000000,78088.36000000,78106.01000000,17.20910000,1769970719999,1344161.44274450,2631,7.36482000,575207.70339960,0
1769970720000,78106.01000000,78158.96000000,78106.01000000,78154.58000000,2.76326000,1769970779999,215905.73026930,4052,1.76097000,137588.61649810,0
1769970780000,78154.59000000,78183.74000000,78102.13000000,78183.73000000,5.15335000,1769970839999,402603.68794810,4457,4.03471000,315213.96974090,0
1769970840000,78183.73000000,78183.74000000,78122.40000000,78168.10000000,5.78247000,1769970899999,451923.18618740,4551,3.52281000,275327.06115640,0
1769970900000,78168.10000000,78170.00000000,78058.00000000,78081.38000000,7.67084000,1769970959999,599271.75376530,5080,1.78652000,139491.89004870,0
1769970960000,78081.38000000,78099.03000000,78048.01000000,78048.02000000,2.36841000,1769971019999,184922.18191930,3271,1.20747000,94283.15717010,0
1769971020000,78048.01000000,78101.31000000,78040.00000000,78101.31000000,5.14572000,1769971079999,401644.33545940,3330,2.23433000,174402.43925870,0
1769971080000,78101.30000000,78113.73000000,78074.71000000,78102.04000000,2.25038000,1769971139999,175742.32953280,3622,0.98618000,77011.27557390,0
1769971140000,78102.04000000,78143.86000000,78049.16000000,78143.86000000,15.30789000,1769971199999,1195611.72978690,4342,8.51515000,665059.31167310,0
1769971200000,78143.85000000,78160.00000000,78111.27000000,78159.99000000,8.39994000,1769971259999,656371.70143920,4297,5.84210000,456475.40908780,0
1769971260000,78160.00000000,78180.56000000,78128.00000000,78180.55000000,3.43721000,1769971319999,268642.77987820,2276,0.89921000,70271.69693570,0
1769971320000,78180.56000000,78188.00000000,78087.84000000,78136.79000000,6.92166000,1769971379999,540876.11361660,4762,2.84186000,222095.24826570,0
1769971380000,78136.79000000,78136.79000000,78080.00000000,78080.00000000,2.70688000,1769971439999,211395.07091360,1965,0.62866000,49092.10159770,0
1769971440000,78080.00000000,78080.00000000,77951.19000000,77990.70000000,12.50433000,1769971499999,975379.50891370,6051,2.19393000,171087.23301280,0
1769971500000,77990.71000000,78021.29000000,77962.80000000,78004.60000000,6.21094000,1769971559999,484367.86627940,3667,2.98563000,232836.40525540,0
1769971560000,78004.61000000,78011.91000000,77951.58000000,77964.52000000,11.83475000,1769971619999,922924.67733590,6444,5.44019000,424251.83145020,0
1769971620000,77964.52000000,77964.52000000,77880.00000000,77890.71000000,21.23721000,1769971679999,1654396.89937910,6844,4.22948000,329499.11397280,0
1769971680000,77890.71000000,77936.63000000,77882.32000000,77921.99000000,3.80790000,1769971739999,296698.37204720,3687,1.71264000,133435.36812880,0
1769971740000,77922.00000000,77941.14000000,77821.17000000,77821.17000000,8.64003000,1769971799999,672877.85205850,4327,1.52272000,118643.55949950,0
1769971800000,77821.16000000,77849.76000000,77802.00000000,77817.17000000,4.01815000,1769971859999,312680.30728620,5509,2.31886000,180438.32384980,0
1769971860000,77817.17000000,77847.65000000,77802.00000000,77830.06000000,9.62681000,1769971919999,749179.29704810,5106,4.53219000,352714.32055480,0
